material,cor_material,codigo_barra,grupo,subgrupo,categoria_produto,path_completo,qtde_estoque
03.06.9019,07,308027,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000308027.jpg,9.0
03.06.9019,23F,311159,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000311159.jpg,13.0
03.05.9303,12A,318110,03 - ZIPER,ZIPER PLASTICO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000318110.jpg,208.0
03.05.9242,60,307499,03 - ZIPER,ZIPER PLASTICO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307499.jpg,3.0
03.05.9243,60,307500,03 - ZIPER,ZIPER PLASTICO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307500.jpg,86.0
03.05.9245,60,307600,03 - ZIPER,ZIPER PLASTICO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307600.jpg,9.0
03.05.9217,60,298392,03 - ZIPER,ZIPER PLASTICO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000298392.jpg,109.0
03.05.9218,60,298393,03 - ZIPER,ZIPER PLASTICO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000298393.jpg,127.0
03.05.9220,60,298400,03 - ZIPER,ZIPER PLASTICO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000298400.jpg,72.0
03.05.9221,60,298401,03 - ZIPER,ZIPER PLASTICO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000298401.jpg,152.0
03.06.9023,02,308020,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000308020.jpg,13.0
03.06.9023,60,307509,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307509.jpg,133.0
03.06.9024,60,308006,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000308006.jpg,36.0
03.06.9025,60,307769,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307769.jpg,58.0
03.06.9026,60,307776,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307776.jpg,82.0
03.06.9027,05D,309288,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000309288.jpg,9.0
03.06.9027,60,307783,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307783.jpg,27.0
03.06.9028,07,307981,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307981.jpg,4.0
03.06.9028,23F,311240,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000311240.jpg,2.0
03.06.9029,07,307974,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307974.jpg,3.0
03.06.9030,23F,311234,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000311234.jpg,2.0
03.06.9030,60,307804,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307804.jpg,17.0
03.06.9031,05D,309280,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000309280.jpg,1.0
03.06.9032,05D,309278,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000309278.jpg,6.0
03.06.9033,05D,309276,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000309276.jpg,1.0
03.06.9034,05D,309274,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000309274.jpg,4.0
03.06.9034,67,307934,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307934.jpg,27.0
03.06.9035,67,307878,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307878.jpg,29.0
03.06.9036,60,307887,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307887.jpg,9.0
03.06.9037,67,307900,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000307900.jpg,8.0
03.04.0333,B-60,208974,03 - ZIPER,ZIPER METAL FINO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000208974.jpg,17.0
